wallet,count
0x1d96182c9e68b0f4676522762f38c413d1c8bd83,4
0xde18b91dd487df1f3a0aac58e3eac30ae4daa7df,3
0x9004427a4d489abc681fc6af095e1380bf97c53d,3
0xbb526911f7db52ed9c67587b606305b06f963154,3
0x17c500fca07b5ab62b7b83858f14c19279397564,3
0xbf5b27f6806c77c268a6f33aea663697e03b8046,3
0x337ed1521f65fab470024d6dd545e4a57b74703c,3
0x896b2797442e7066f2e46959a0b32398999fcc0d,3
0x397cbad116eb6a9621a5b1157a643b1fe1f85dfc,3
0xa43fd5a96198f5f7334b48bea67d5bcabeadba8a,3
0x35476f3d5745fc3dd49119cf5d653312346b26f9,3
0xa29cdbbc00541d29a6496dbae257cc46e06671f6,3
0x82584a2e294fc67c390f059227490da7390df331,3
0x2eaf07b7eec52076535d301fd889afd6fa92e45b,3
0x91a1dd80fe620f166a4bc7e43971ce240fd67484,3
0xad1f277b0154b485de16aa3a6ab8d5cb88d0299c,3
0xa48b2d153d3e34727d1b540f2a55882390bbb735,3
0x4fe36577c890ca845c6cb018e33bb7761df761a4,3
0x18a698b167e61388eb9953f42b88c5d92f26dd82,3
0x120476ab6b85d378214c5bf66898596313e8b5ff,3
0x3c6c7316520614e2e22dc5c0b2c70836f8d81259,3
0xfac9e85eb32d9ea3dbf22a47fa925557105439cd,3
0xcdcb92767c5ad3f6564c93dfa5330992f79bafc3,3
0x202491142895cfff5e7a4d97575698b35f2d3ee5,3
0x086511f9d9673d3956d744a515cfc7b455363b5d,3
0x2b71a9ef572e8954d1a96c81c27ffcb4de583973,3
0x0857dadb540e0729e58561c16125174d47d34cec,3
0x2ebdfb0eea0364372b4a1a1d2a8142c60ea54867,3
0xa39386395d449c66e6e7f74b7c03041463b9d52c,3
0x443c7e81d35c2edc5f9b3e4f069e14a55824e2c6,3
0x59f02c22e6cfe1aefbcd2c709706fc09dd94fa34,3
0x5dc0dadfac37ab3be095d8881fc9dcd6e2c96cf7,3
0x2f39cfbe27bfcb708095d41ac73a244ac9c8e9f1,3
0x8c873a32aff95bac53f53b4b22276dd77e98e95c,3
0xa475e146eaf8803f7afe18386a6ba11e5fa90461,3
0x610dc74040701c71fa6a84bc51f57ff2216f2f20,3
0xf6d672b035344e9c6d9b4ac31b3b003ccc34ee97,3
0x1136d0f2e1dfd434a17d87f26d4896cf4fa69d8a,3
0x995737ba36f81560bb2a838f1aad0a6e40bab0fc,3
0xdc18dab67705094e0715e5b89f76c3cd12bd7f26,3
0xe12d417f8b00eb726c545f26772b48c1bd49bc6b,3
0xb17bc7ad0e0f73db0dfe60e508445c237832a369,2
0x4a3e21b0eccdc14b43557d2d6cc174d6f8864943,2
0x0da745f2bd7655e4c70d6b02695ca772c8d2f69e,2
0xf66cc0a53309fde4ca3d3475e11cba88d414a846,2
0x0462d79b60b24ca93e6020a43729fd6e2d3bfa54,2
0x80286131e1a54df262975b693930c319a88876c2,2
0xcd2883cf93d9e890d0a96ed73f9a6019b9f6750a,2
0x3d0de3a76cd9f856664dc5a3adfd4056e45da9ed,2
0x3a388f2c23822cacfdf9f9a89e65491c7035f5a3,2
0xbe6b85755ce5858951de4ef9baa5a670c8e115ea,2
0x02240be3fab9b3572874a5f3016e2bcbcb468958,2
0x9f7f5762e73a79fe3da828436db53f32aef59193,2
0x0f22073d5c83994a0daf3a72306498450f21b605,2
0x05462278a9141d72bc04b071a96d61759f02532b,2
0xcd71315c21bab6ece689c387ffb074696f2ec5a7,2
https://discord.com/channels/1351049895137771610/1422860261232087070/1422860317750329465,2
0x70fe5e92387268e5986bbc54209b61783cff7555,2
0x62a362666080dab0d18179389558d3ff737a395b,2
0x74497ef4cc24cb476db6647b2d5af5f3a2a1ac46,2
0x21f73f625a4d829f0bbd0b982da564b60db980dd,2
0x1436dfe0ca81b4afcc4415bf4f13a3102133ccac,2
0xfd8dbe32c1402fc5a25c2bd83208b3613b014619,2
0xc6a07d0263d4cc24dac086b0496f2f6a1c6351de,2
0x6aeb62b9f532c7a03575d9f6d43a390176fd1213,2
0x60fa10c03a0b7f5aa4f03705a242ce0bf9d2cf66,2
0xe3a2a959ec2ca7195ace3258cb539f4e668cfaa3,2
0xb20af02a0bab5080209252bbe713b0d8f28181ad,2
0xb19e63fd87d3edfdc050d335bf47d065de91df30,2
0xa29b8bb9d3c5dc06eb4e7d0dae9661c58cd0d0e9,2
0xd10f7c4a8ac838610edeece946591e42a07592e9,2
0x0f1eff07403e726399aa426a8a95b9a8fa3bd688,2
0x67772587e27b11400ce60b3e9a38c2d233b4abee,2
0x9168a80af210c511e4be5b32d7de75124d0a4996,2
0x2df7e7a29b7db36217b74ab1d656577ac9a893ee,2
0x74c1dc3a9247a1c8b25ae3886f4e210131493682,2
0xbb1474ed9d568fe1bd53acf8d48e0d511415a0c3,2
0x36571f2519eef79d7d7fc57420ec0c0d77338b1a,2
0xf26869f801af74349269325ab21b25cdc94c2368,2
0xdff2ac111ad7f752da9ec54a6d56d02a8a5d4896,2
0x5f5ce410d233bee8e46b05e465b293c92a0e9f3a,2
0x8255b017bdce0169bfb2712e6c2f0ddd84bcc4bd,2
0x010475e36100b427bb4dbddb2c023124bebd5a38,2
0x9baf48fe23ef619b7c16ac7eb8ec72c86a5a28a3,2
0x1d50a30b21fcf6c0d8bd800375ff263a9e1ea66a,2
0xbddb27022379808ddfe70a3750f0017b91f529e1,2
0x42b42b697eca1fc274e2e663c7e0fdaa63bcdc02,2
0xdf290f43492d2e4834b885cf11fe4aa5ff3c3305,2
0x9a9f5a6a39abec18cbfe5f9711dc88d7be7c99d7,2
0x26319baf4df156bf15bdf8cea6156f2ba4d7b158,2
0x882dd2862a4b22651be47ea63f233594173b12d8,2
0x565f1b37de350208b3d23369d833ed487ec18375,2
0x4b8a37d63a8171268ce6378e4fc019f5e0a1456c,2
0x0fd17f29d3ec00c19f6c3495cd39d887065949b3,2
0xa5c9db584cbfb78bac89f4a2cdf67dfc4f4b57c5,1
0x8c003ad69c491e01f1bfe9dcbc4ad6dc1b9cef68,1
0x49b94328630b80deea5357be948b38c27dbaca80,1
0x06dfbf998ce8e9e17faf8b8678d1f11a8e03d3e6,1
0x92bd83297630c5bfc6f5e7f5fdc916a79f2e6b76,1
0x074e9be931395b58c6d84f2305757e4992e5186b,1
0x4de91769f9d81c0e1263d2276a9e26eb23ab01ef,1
0x90cd6482db861d960804c331ecf8e9da0f599ba2,1
0xed02c7a0294f11646f486a8746909761ee1f61e0,1
0x5cc623cc720982d485d38834e7059188ea26c019,1
0xc62fa66acf82f5ba627f151d264652a3563462ca,1
0x7596b1216fb181df4abcca1a9c856b8fc364ad8b,1
0xc59c187d2d8d35c141387a2708e70b9d80446862,1
0xde5296d36fbd4e6915b24f504e6b07745ba63c4a,1
0xc5ccb2c262b07fb3c2ad5edb10e1874044509355,1
0xb260eca71b5f3bffb3a7bed1e33c2603af32c031,1
0xd9978d36016448423b9657eb8c818d0be95a08a3,1
0x414e49fc6e1cae6e867e50103e684c71dad6b55a,1
0x4158851e1c91fc7c40ff28207baf82ad9a54c72f,1
0xf8fb8a67a67145fbee4002f9b8e83acb2fec28c8,1
0x10add846d366b2762c585a42b2bf2c8e0aa5de35,1
